Season,Tm,avg(age)
1996-97,NJN,27.25
1996-97,NYK,27.6666666666667
1996-97,ORL,27.8888888888889
1996-97,PHI,26.0
1996-97,PHO,27.5333333333333
1996-97,POR,25.7692307692308
1996-97,SAC,26.3
1996-97,SAS,27.6
1996-97,SEA,29.5
1996-97,TOR,25.8181818181818
1996-97,TOT,26.5
1996-97,UTA,28.5
1996-97,VAN,24.8888888888889
1996-97,WSB,25.8181818181818
1997-98,ATL,27.5
1997-98,BOS,24.8
1997-98,CHH,29.3846153846154
1997-98,CHI,30.2666666666667
1997-98,CLE,24.7272727272727
1997-98,DAL,26.0
1997-98,DEN,25.7272727272727
1997-98,DET,25.2727272727273
1997-98,GSW,26.0
1997-98,HOU,29.5454545454545
1997-98,IND,28.5714285714286
1997-98,LAC,24.9166666666667
1997-98,LAL,26.0
1997-98,MIA,27.5294117647059
1997-98,MIL,27.8181818181818
1997-98,MIN,27.3076923076923
1997-98,NJN,28.6363636363636
1997-98,NYK,30.2727272727273
1997-98,ORL,28.4545454545455
1997-98,PHI,26.3157894736842
1997-98,PHO,28.3636363636364
1997-98,POR,25.8125
1997-98,SAC,26.9166666666667
1997-98,SAS,28.4545454545455
1997-98,SEA,30.6666666666667
1997-98,TOR,24.4444444444444
1997-98,TOT,26.6
1997-98,UTA,28.1666666666667
1997-98,VAN,27.0909090909091
1997-98,WAS,26.6363636363636
1998-99,ATL,28.75
1998-99,BOS,24.5833333333333
1998-99,CHH,28.5
1998-99,CHI,28.3076923076923
1998-99,CLE,26.125
1998-99,DAL,25.3076923076923
1998-99,DEN,24.5454545454545
1998-99,DET,26.6363636363636
1998-99,GSW,28.0833333333333
1998-99,HOU,28.8
1998-99,IND,29.0
1998-99,LAC,24.7857142857143
1998-99,LAL,27.0
1998-99,MIA,29.2142857142857
1998-99,MIL,28.3888888888889
1998-99,MIN,26.8333333333333
1998-99,NJN,26.1666666666667
1998-99,NYK,29.1538461538462
1998-99,ORL,28.0
1998-99,PHI,26.0
1998-99,PHO,28.6363636363636
1998-99,POR,27.5
1998-99,SAC,26.0
1998-99,SAS,29.3846153846154
1998-99,SEA,28.2
1998-99,TOR,26.25
1998-99,TOT,26.9259259259259
1998-99,UTA,28.6666666666667
1998-99,VAN,26.1818181818182
1998-99,WAS,27.6666666666667
1999-00,ATL,26.0714285714286
1999-00,BOS,26.1333333333333
1999-00,CHH,27.6470588235294
1999-00,CHI,26.95
1999-00,CLE,26.75
1999-00,DAL,26.3529411764706
1999-00,DEN,25.9411764705882
1999-00,DET,27.8666666666667
1999-00,GSW,27.0869565217391
1999-00,HOU,27.6470588235294
1999-00,IND,29.0
1999-00,LAC,25.8235294117647
1999-00,LAL,27.9333333333333
1999-00,MIA,28.375
1999-00,MIL,28.6666666666667
1999-00,MIN,27.0
1999-00,NJN,28.4
1999-00,NYK,29.0625
1999-00,ORL,25.6315789473684
1999-00,PHI,26.5555555555556
1999-00,PHO,29.1764705882353
1999-00,POR,30.1428571428571
1999-00,SAC,28.1428571428571
1999-00,SAS,30.4
1999-00,SEA,28.0666666666667
1999-00,TOR,28.625
1999-00,TOT,27.1428571428571
1999-00,UTA,30.0
1999-00,VAN,27.2666666666667
1999-00,WAS,27.375
2000-01,ATL,26.3478260869565
2000-01,BOS,26.2941176470588
2000-01,CHH,28.75
2000-01,CHI,23.0625
2000-01,CLE,27.5
2000-01,DAL,26.9
2000-01,DEN,28.2222222222222
2000-01,DET,27.7058823529412
2000-01,GSW,27.4545454545455
2000-01,HOU,27.0
2000-01,IND,27.2
2000-01,LAC,24.7333333333333
2000-01,LAL,28.1333333333333
2000-01,MIA,29.4375
2000-01,MIL,27.3333333333333
2000-01,MIN,28.2
2000-01,NJN,27.2631578947368
2000-01,NYK,29.375
2000-01,ORL,27.125
2000-01,PHI,27.4736842105263
2000-01,PHO,28.875
2000-01,POR,31.25
2000-01,SAC,27.4285714285714
2000-01,SAS,29.6666666666667
2000-01,SEA,28.0714285714286
2000-01,TOR,30.05
2000-01,TOT,28.7659574468085
2000-01,UTA,29.8571428571429
2000-01,VAN,28.4
2000-01,WAS,27.3809523809524
2001-02,ATL,26.6666666666667
2001-02,BOS,25.9375
2001-02,CHH,28.2666666666667
2001-02,CHI,25.2777777777778
2001-02,CLE,25.8666666666667
2001-02,DAL,28.05
2001-02,DEN,27.6666666666667
2001-02,DET,28.1333333333333
2001-02,GSW,26.1333333333333
2001-02,HOU,26.4285714285714
2001-02,IND,25.0
2001-02,LAC,25.6875
2001-02,LAL,27.6
2001-02,MEM,26.6470588235294
2001-02,MIA,28.1764705882353
2001-02,MIL,28.6428571428571
2001-02,MIN,27.625
2001-02,NJN,26.125
2001-02,NYK,29.8571428571429
2001-02,ORL,28.7058823529412
2001-02,PHI,27.2105263157895
2001-02,PHO,26.6315789473684
2001-02,POR,28.7333333333333
2001-02,SAC,27.0714285714286
2001-02,SAS,28.8666666666667
2001-02,SEA,26.0
2001-02,TOR,28.2352941176471
2001-02,TOT,27.4666666666667
2001-02,UTA,28.7857142857143
2001-02,WAS,26.3571428571429
2002-03,ATL,27.3809523809524
2002-03,BOS,28.0588235294118
2002-03,CHI,25.1333333333333
2002-03,CLE,24.3571428571429
2002-03,DAL,28.7647058823529
2002-03,DEN,25.2857142857143
2002-03,DET,29.0
2002-03,GSW,25.1875
2002-03,HOU,25.6
2002-03,IND,26.0
2002-03,LAC,25.3333333333333
2002-03,LAL,27.4285714285714
2002-03,MEM,24.4117647058824
2002-03,MIA,26.4285714285714
2002-03,MIL,27.625
2002-03,MIN,28.0
2002-03,NJN,27.9333333333333
2002-03,NOH,28.6875
2002-03,NYK,28.5384615384615
2002-03,ORL,26.7647058823529
2002-03,PHI,28.4375
2002-03,PHO,26.2857142857143
2002-03,POR,28.7333333333333
2002-03,SAC,27.5
2002-03,SAS,29.5333333333333
2002-03,SEA,26.8823529411765
2002-03,TOR,27.3684210526316
2002-03,TOT,27.4444444444444
2002-03,UTA,29.5384615384615
2002-03,WAS,27.25
2003-04,ATL,26.695652173913
2003-04,BOS,26.4736842105263
2003-04,CHI,27.2380952380952
2003-04,CLE,25.047619047619
2003-04,DAL,28.0714285714286
2003-04,DEN,26.0666666666667
2003-04,DET,28.2941176470588
2003-04,GSW,27.9444444444444
2003-04,HOU,28.9411764705882
2003-04,IND,26.4666666666667
2003-04,LAC,26.3529411764706
2003-04,LAL,28.2941176470588
2003-04,MEM,25.625
2003-04,MIA,26.7058823529412
2003-04,MIL,26.5
2003-04,MIN,28.7647058823529
2003-04,NJN,28.4210526315789
2003-04,NOH,29.6875
2003-04,NYK,28.4545454545455
2003-04,ORL,25.7619047619048
2003-04,PHI,27.5714285714286
2003-04,PHO,25.7368421052632
2003-04,POR,26.2916666666667
2003-04,SAC,28.7692307692308
2003-04,SAS,28.0588235294118
2003-04,SEA,25.9285714285714
2003-04,TOR,27.8260869565217
