season,team,av_exp
2008-09,MIA,4.16666666666667
2008-09,MIL,5.64705882352941
2008-09,MIN,4.35294117647059
2008-09,NJN,4.2
2008-09,NOH,6.66666666666667
2008-09,NYK,5.04347826086957
2008-09,OKC,4.2
2008-09,ORL,6.125
2008-09,PHI,6.23076923076923
2008-09,PHO,5.84210526315789
2008-09,POR,3.0
2008-09,SAC,4.57142857142857
2008-09,SAS,5.52380952380952
2008-09,TOR,4.36842105263158
2008-09,TOT,5.91176470588235
2008-09,UTA,4.46666666666667
2008-09,WAS,5.61111111111111
2009-10,ATL,5.78571428571429
2009-10,BOS,6.0
2009-10,CHA,6.0
2009-10,CHI,4.61111111111111
2009-10,CLE,5.11111111111111
2009-10,DAL,7.77777777777778
2009-10,DEN,5.91666666666667
2009-10,DET,5.28571428571429
2009-10,GSW,4.15
2009-10,HOU,3.23809523809524
2009-10,IND,4.26666666666667
2009-10,LAC,5.42105263157895
2009-10,LAL,6.69230769230769
2009-10,MEM,3.0
2009-10,MIA,5.66666666666667
2009-10,MIL,5.42105263157895
2009-10,MIN,3.5625
2009-10,NJN,5.0
2009-10,NOH,5.375
2009-10,NYK,4.95
2009-10,OKC,3.44444444444444
2009-10,ORL,6.41666666666667
2009-10,PHI,4.9375
2009-10,PHO,4.93333333333333
2009-10,POR,4.55555555555556
2009-10,SAC,3.15
2009-10,SAS,6.23529411764706
2009-10,TOR,4.46666666666667
2009-10,TOT,5.09090909090909
2009-10,UTA,3.26666666666667
2009-10,WAS,4.79166666666667
2010-11,ATL,6.0
2010-11,BOS,6.45454545454545
2010-11,CHA,5.47368421052632
2010-11,CHI,5.26666666666667
2010-11,CLE,4.05263157894737
2010-11,DAL,7.33333333333333
2010-11,DEN,5.55555555555556
2010-11,DET,6.15384615384615
2010-11,GSW,3.94117647058824
2010-11,HOU,3.55
2010-11,IND,4.2
2010-11,LAC,4.35294117647059
2010-11,LAL,7.9375
2010-11,MEM,3.42105263157895
2010-11,MIA,8.76470588235294
2010-11,MIL,5.76470588235294
2010-11,MIN,2.64705882352941
2010-11,NJN,4.5
2010-11,NOH,4.26315789473684
2010-11,NYK,4.4
2010-11,OKC,4.05555555555556
2010-11,ORL,7.23529411764706
2010-11,PHI,5.2
2010-11,PHO,5.42105263157895
2010-11,POR,4.83333333333333
2010-11,SAC,2.6875
2010-11,SAS,4.55
2010-11,TOR,3.72727272727273
2010-11,TOT,4.82142857142857
2010-11,UTA,4.64705882352941
2010-11,WAS,3.52173913043478
2011-12,ATL,7.9375
2011-12,BOS,7.29411764705882
2011-12,CHA,4.5
2011-12,CHI,5.78571428571429
2011-12,CLE,3.23809523809524
2011-12,DAL,8.1875
2011-12,DEN,4.0
2011-12,DET,4.64285714285714
2011-12,GSW,3.85714285714286
2011-12,HOU,3.78947368421053
2011-12,IND,4.46666666666667
2011-12,LAC,5.55555555555556
2011-12,LAL,6.58823529411765
2011-12,MEM,4.47058823529412
2011-12,MIA,6.375
2011-12,MIL,4.47058823529412
2011-12,MIN,3.73333333333333
2011-12,NJN,4.36363636363636
2011-12,NOH,2.60869565217391
2011-12,NYK,5.52941176470588
2011-12,OKC,4.625
2011-12,ORL,5.4375
2011-12,PHI,4.375
2011-12,PHO,7.0
2011-12,POR,4.89473684210526
2011-12,SAC,3.06666666666667
2011-12,SAS,4.5
2011-12,TOR,4.66666666666667
2011-12,TOT,4.22222222222222
2011-12,UTA,4.86666666666667
2011-12,WAS,3.85
2012-13,ATL,5.44444444444444
2012-13,BOS,6.15
2012-13,BRK,5.88235294117647
2012-13,CHA,5.05882352941176
2012-13,CHI,6.53333333333333
2012-13,CLE,3.36842105263158
2012-13,DAL,6.16666666666667
2012-13,DEN,3.66666666666667
2012-13,DET,4.0625
2012-13,GSW,3.5
2012-13,HOU,2.2
2012-13,IND,3.625
2012-13,LAC,7.8
2012-13,LAL,6.75
2012-13,MEM,4.19047619047619
2012-13,MIA,7.83333333333333
2012-13,MIL,5.22222222222222
2012-13,MIN,3.95
2012-13,NOH,2.84210526315789
2012-13,NYK,8.89473684210526
2012-13,OKC,4.625
2012-13,ORL,3.83333333333333
2012-13,PHI,4.11764705882353
2012-13,PHO,4.1875
2012-13,POR,3.26666666666667
2012-13,SAC,3.70588235294118
2012-13,SAS,5.26666666666667
2012-13,TOR,4.83333333333333
2012-13,TOT,4.02
2012-13,UTA,4.92857142857143
2012-13,WAS,4.44444444444444
2013-14,ATL,3.77777777777778
2013-14,BOS,4.05
2013-14,BRK,7.36842105263158
2013-14,CHA,4.5
2013-14,CHI,5.7
2013-14,CLE,3.0
2013-14,DAL,6.46666666666667
2013-14,DEN,4.75
2013-14,DET,4.13333333333333
2013-14,GSW,4.55555555555556
2013-14,HOU,3.38888888888889
2013-14,IND,4.70588235294118
2013-14,LAC,7.2
2013-14,LAL,5.68421052631579
2013-14,MEM,5.22222222222222
2013-14,MIA,8.11111111111111
2013-14,MIL,3.23809523809524
2013-14,MIN,3.76470588235294
2013-14,NOP,3.57142857142857
2013-14,NYK,7.15789473684211
2013-14,OKC,5.61111111111111
2013-14,ORL,3.375
2013-14,PHI,1.69565217391304
2013-14,PHO,3.86666666666667
2013-14,POR,3.86666666666667
2013-14,SAC,4.08695652173913
2013-14,SAS,5.61111111111111
2013-14,TOR,4.3
2013-14,TOT,4.26984126984127
2013-14,UTA,4.47058823529412
2013-14,WAS,5.66666666666667
2014-15,ATL,4.75
2014-15,BOS,4.95238095238095
2014-15,BRK,5.36842105263158
2014-15,CHI,6.0
2014-15,CHO,4.75
2014-15,CLE,6.5
2014-15,DAL,7.31578947368421
2014-15,DEN,4.3
2014-15,DET,5.52631578947368
2014-15,GSW,5.2
2014-15,HOU,4.2
2014-15,IND,4.875
2014-15,LAC,6.55
2014-15,LAL,4.27777777777778
2014-15,MEM,5.73684210526316
2014-15,MIA,5.71428571428571
2014-15,MIL,3.66666666666667
2014-15,MIN,3.68
2014-15,NOP,3.80952380952381
2014-15,NYK,5.80952380952381
2014-15,OKC,4.38095238095238
2014-15,ORL,3.8
2014-15,PHI,2.16
2014-15,PHO,3.73913043478261
2014-15,POR,4.61111111111111
2014-15,SAC,4.42105263157895
2014-15,SAS,6.375
2014-15,TOR,4.6
2014-15,TOT,4.31578947368421
2014-15,UTA,1.8695652173913
2014-15,WAS,7.4375
2015-16,ATL,5.875
2015-16,BOS,3.53333333333333
2015-16,BRK,4.46666666666667
2015-16,CHI,5.4
2015-16,CHO,4.33333333333333
2015-16,CLE,6.8
2015-16,DAL,7.0
2015-16,DEN,4.3125
2015-16,DET,4.46666666666667
2015-16,GSW,5.8
2015-16,HOU,6.0
2015-16,IND,4.85714285714286
2015-16,LAC,6.8125
2015-16,LAL,5.2
2015-16,MEM,6.73684210526316
2015-16,MIA,7.35294117647059
2015-16,MIL,2.86666666666667
2015-16,MIN,5.13333333333333
2015-16,NOP,5.82352941176471
2015-16,NYK,5.0
2015-16,OKC,5.0
2015-16,ORL,3.2
2015-16,PHI,1.9375
2015-16,PHO,4.0
2015-16,POR,3.0
2015-16,SAC,5.42857142857143
2015-16,SAS,8.21428571428571
2015-16,TOR,3.86666666666667
2015-16,TOT,5.75
2015-16,UTA,2.17647058823529
2015-16,WAS,6.46153846153846
